date,fund_growth,benchmark_growth,fund_minus_benchmark
2023-12-05,566.375068343357,282.6698756716138,283.70519267174325
2023-12-06,568.5620557681793,283.64573853950924,284.9163172286701
2023-12-07,578.8408966648442,281.91084968448797,296.9300469803562
2023-12-11,587.9715691634773,284.51308606258794,303.45848310088934
2023-12-12,592.5095680699836,285.1636847998351,307.34588327014853
2023-12-13,589.502460360853,285.272147287689,304.230313073164
2023-12-14,586.4953526517223,288.7417840458305,297.7535686058918
2023-12-18,575.5057408419901,290.3682104129979,285.13753042899225
2023-12-19,578.1848004373975,289.28390267623615,288.90089776116133
2023-12-20,578.5675232367414,290.0429286633619,288.5245945733795
2023-12-21,581.5199562602515,287.5491371541283,293.97081910612326
2023-12-25,587.643521049754,289.50077479498106,298.14274625477293
2023-12-26,589.9945325314379,291.12716592417314,298.8673666072648
2023-12-27,588.2449425915801,294.38000103952027,293.8649415520598
2023-12-28,589.7758337889558,294.38000103952027,295.3958327494355
2024-01-02,574.7402952433024,292.536702553608,282.2035926896944
2024-01-03,570.3663203936578,287.4407099042496,282.9256104894082
2024-01-04,573.428102788409,287.33221217842043,286.09589060998854
2024-01-08,580.2624384909788,287.8743484278137,292.38809006316507
2024-01-09,585.9486057955168,288.41650229619455,297.5321034993222
2024-01-10,597.5943138326954,286.8985384168811,310.69577541581435
2024-01-11,594.313832695462,288.09125578453387,306.2225769109281
2024-01-15,594.0404592673592,287.6574939280564,306.3829653393028
2024-01-16,588.6823400765446,285.4889489304834,303.19339114606123
2024-01-17,586.4406779661017,282.82601513999606,303.61466282610564
2024-01-18,598.6878075451067,284.7122687177517,313.97553882735497
2024-01-22,616.1290322580645,296.91739954313965,319.21163271492486
2024-01-23,609.6774193548388,297.4721862256517,312.2052331291871
2024-01-24,609.9507927829416,297.361186603579,312.5896061793626
2024-01-25,612.0284308365227,301.0227646129681,311.0056662235546
2024-01-29,633.7889557135047,302.90901819072377,330.87993752278095
2024-01-30,633.9529797703664,302.1323027400169,331.8206770303495
2024-01-31,637.2334609075998,298.13790205428586,339.09555885331395
2024-02-01,655.7681793329689,298.13790205428586,357.630277278683
2024-02-15,674.7949699289229,315.8907939908681,358.90417593805483
2024-02-19,666.3203936577365,313.11693105425854,353.203462603478
2024-02-20,652.4330235101148,314.33746880338003,338.0955547067348
2024-02-21,661.3996719518863,313.3388245844782,348.0608473674081
2024-02-22,664.7895024603608,316.88940297179465,347.9000994885662
2024-02-26,663.531984691088,319.4414076161598,344.09057707492826
2024-02-29,691.7441224712958,317.99897633681866,373.7451461344771
2024-03-04,698.1957353745216,326.09877733035336,372.0969580441683
2024-03-05,702.8430836522691,328.7616406448902,374.08144300737894
2024-03-06,693.0016402405687,330.3151067842793,362.6865334562894
2024-03-07,676.271186440678,337.97097976547366,338.3002066752043
2024-03-11,682.2307271733188,339.3024466607173,342.9282805126015
2024-03-12,668.8901038819027,342.85302504803377,326.037078833869
2024-03-13,667.3045379989065,344.5173498575945,322.787188141312
2024-03-14,668.726079825041,344.1845271812527,324.5415526437883
2024-03-18,664.0240568616731,342.63116675578937,321.39289010588374
